instâncias, algoritmo, métrica de distância, valor, tempo(s)
16,branch_and_bound,euclidean,3623.81,567.57
32,branch_and_bound,euclidean,NA,NA
64,branch_and_bound,euclidean,NA,NA
128,branch_and_bound,euclidean,NA,NA
256,branch_and_bound,euclidean,NA,NA
512,branch_and_bound,euclidean,NA,NA
1024,branch_and_bound,euclidean,NA,NA
16,twice_and_around_the_tree,euclidean,4414.22,0.00
32,twice_and_around_the_tree,euclidean,5483.05,0.00
64,twice_and_around_the_tree,euclidean,8920.27,0.01
128,twice_and_around_the_tree,euclidean,11479.03,0.03
16,twice_and_around_the_tree,euclidean,4414.22,0.00
256,twice_and_around_the_tree,euclidean,15817.58,0.15
512,twice_and_around_the_tree,euclidean,22286.20,0.83
1024,twice_and_around_the_tree,euclidean,32076.88,3.38
16,christofides,euclidean,3764.23,0.01
32,christofides,euclidean,5133.51,0.01
64,christofides,euclidean,7796.39,0.11
128,christofides,euclidean,10051.92,0.41
256,christofides,euclidean,13143.89,2.27
512,christofides,euclidean,18469.66,20.20
1024,christofides,euclidean,26202.38,97.00
16,branch_and_bound,manhattan,4298.00,278.84
32,branch_and_bound,manhattan,NA,NA
64,branch_and_bound,manhattan,NA,NA
128,branch_and_bound,manhattan,NA,NA
256,branch_and_bound,manhattan,NA,NA
512,branch_and_bound,manhattan,NA,NA
1024,branch_and_bound,manhattan,NA,NA
16,twice_and_around_the_tree,manhattan,5374.00,0.00
32,twice_and_around_the_tree,manhattan,7434.00,0.00
64,twice_and_around_the_tree,manhattan,11778.00,0.01
128,twice_and_around_the_tree,manhattan,14144.00,0.04
256,twice_and_around_the_tree,manhattan,19290.00,0.20
512,twice_and_around_the_tree,manhattan,28498.00,0.72
1024,twice_and_around_the_tree,manhattan,41320.00,2.61
16,christofides,manhattan,4608.00,0.00
32,christofides,manhattan,6208.00,0.01
64,christofides,manhattan,9450.00,0.08
128,christofides,manhattan,12124.00,0.32
256,christofides,manhattan,16384.00,2.39
512,christofides,manhattan,23686.00,14.08
1024,christofides,manhattan,32904.00,32.30
